"Date/Time (PST)","Barometric Pressure  (mb) ","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Temperature  (deg F) "
"2021-12-31 23:00:00",1018.203,13.03,0,88.8,66.08,0.009,12.67
"2021-12-31 22:00:00",1017.699,13.04,0,87.9,66.5,-0.126,13.29
"2021-12-31 21:00:00",1017.573,13.04,0,89.1,66.72,0.077,13.53
"2021-12-31 20:00:00",1017.068,13.04,0,88.9,66.72,0.009,14.15
"2021-12-31 19:00:00",1016.375,13.04,0,88.5,66.94,0.009,14.89
"2021-12-31 18:00:00",1015.807,13.04,0,88.1,66.83,0.009,15.32
"2021-12-31 17:00:00",1014.925,13.04,0,89.2,100.7,0.009,15.51
"2021-12-31 16:00:00",1014.262,13.04,0,81.5,65.51,-0.12,17.97
"2021-12-31 15:00:00",1013.986,13.04,0,77.87,64.68,-0.118,20.31
"2021-12-31 14:00:00",1012.977,13.04,0,73.96,64.61,-0.05,20.55
"2021-12-31 13:00:00",1012.403,13.04,0,72.3,65.88,0.009,21.55
"2021-12-31 12:00:00",1012.403,13.04,0,82.6,66.86,-0.058,17.11
"2021-12-31 11:00:00",1011.773,13.04,0,83.3,67.46,-0.126,16.62
"2021-12-31 10:00:00",1011.646,13.04,0,85,67.62,0.009,15.63
"2021-12-31 09:00:00",1010.638,13.04,0,89.8,65.87,0.077,14.21
"2021-12-31 08:00:00",1009.503,13.03,0,91.4,170.5,0.077,14.52
"2021-12-31 07:00:00",1007.99,13.03,0,91.8,204.4,-0.126,15.63
"2021-12-31 06:00:00",1007.296,13.03,0,91.5,171.1,0.009,17.05
"2021-12-31 05:00:00",1006.729,13.03,0,91.7,170.3,6.349,18.04
"2021-12-31 04:00:00",1006.477,13.03,0.02,92.5,136.6,6.08,18.65
"2021-12-31 03:00:00",1006.224,13.03,0,92.8,170.5,6.282,18.9
"2021-12-31 02:00:00",1005.846,13.03,0,94,101.4,6.349,18.96
"2021-12-31 01:00:00",1005.342,13.03,0,93.5,67.65,6.08,18.59
"2021-12-31 00:00:00",1004.711,13.03,0.01,92.3,67.93,5.945,18.22
"2021-12-30 23:00:00",1004.459,13.03,0,92.2,68.46,5.742,18.35
"2021-12-30 22:00:00",1004.333,13.03,0.01,93.1,68.94,6.147,18.35
"2021-12-30 21:00:00",1003.826,13.03,0.07,93.2,67.62,5.945,18.65
"2021-12-30 20:00:00",1003.569,13.03,0.14,93,66.58,5.743,19.08
"2021-12-30 19:00:00",1003.069,13.18,0.15,92.2,204.4,5.271,19.33
"2021-12-30 18:00:00",1002.94,13.69,0.16,92.3,137.5,5.541,19.08
"2021-12-30 17:00:00",1002.679,12.57,0.01,90.9,103,5.408,19.39
"2021-12-30 16:00:00",1002.154,12.54,0,87.5,68.58,5.004,20.06
"2021-12-30 15:00:00",1001.777,12.54,0,87.8,68.71,5.009,20.13
"2021-12-30 14:00:00",1001.379,12.54,0,87.3,71.31,5.276,20.18
"2021-12-30 13:00:00",1001.124,12.54,0,88,70.27,5.481,19.69
"2021-12-30 12:00:00",1000.616,12.54,0,83.2,68.92,4.941,21.42
"2021-12-30 11:00:00",1000.669,12.54,0,85.6,70.81,3.585,19.82
"2021-12-30 10:00:00",1000.168,12.53,0,88,70.68,4.596,18.9
"2021-12-30 09:00:00",999.4749,12.53,0,91.3,69.26,3.247,19.7
"2021-12-30 08:00:00",998.7763,12.53,0,93.7,98.8,2.033,20.44
"2021-12-30 07:00:00",998.9111,12.52,0,93.7,62.99,0.819,19.58
"2021-12-30 06:00:00",998.4068,12.52,0,93.5,63.73,7.563,19.33
"2021-12-30 05:00:00",1000.298,12.52,0,92.9,98.2,7.294,18.47
"2021-12-30 04:00:00",1002.063,12.53,0,92.6,62.71,6.282,18.22
"2021-12-30 03:00:00",1003.324,12.55,0,92.9,133.6,4.191,17.97
"2021-12-30 02:00:00",1003.198,12.61,0,92.2,97.7,3.044,17.11
"2021-12-30 01:00:00",1003.955,12.78,0.01,91.9,96.7,2.842,16.62
"2021-12-30 00:00:00",1004.838,13.03,0.03,91.7,132.3,0.144,16.19
"2021-12-29 23:00:00",1005.972,13.04,0.02,91.8,59.64,0.009,16.12
"2021-12-29 22:00:00",1006.729,13.04,0.01,91.3,60.74,0.009,15.63
"2021-12-29 21:00:00",1007.485,13.04,0,89.7,61.09,0.077,14.64
"2021-12-29 20:00:00",1007.485,13.04,0,89.7,61.14,0.077,12.92
"2021-12-29 19:00:00",1008.494,13.04,0,90,61.23,0.009,12.55
"2021-12-29 18:00:00",1009.125,13.04,0,89,61.23,-0.126,13.23
"2021-12-29 17:00:00",1008.999,13.04,0,89.4,61.23,0.009,13.97
"2021-12-29 16:00:00",1009.314,13.4,0,87.3,60.93,0.009,14.64
"2021-12-29 15:00:00",1009.75,13.02,0,81.3,60.7,-0.125,16.43
"2021-12-29 14:00:00",1009.619,13.22,0,75.31,60.52,-0.122,18.47
"2021-12-29 13:00:00",1010.133,13.83,0,77.23,59.1,-0.126,17.3
"2021-12-29 12:00:00",1009.754,13.86,0,79.29,60.32,-0.126,15.88
"2021-12-29 11:00:00",1010.133,14.36,0,71.2,60.47,-0.463,18.1
"2021-12-29 10:00:00",1010.512,13.05,0,81.4,61.02,-0.328,14.34
"2021-12-29 09:00:00",1009.539,13.04,0,88.1,61.94,-0.128,10.89
"2021-12-29 08:00:00",1008.631,13.04,0,91.2,61.63,0.008,8.48
"2021-12-29 07:00:00",1007.612,13.03,0,88.8,132.8,-0.126,10.51
"2021-12-29 06:00:00",1007.233,13.04,0,89.2,169.3,0.009,11.81
"2021-12-29 05:00:00",1006.666,13.04,0,89.3,97.1,0.549,12.05
"2021-12-29 04:00:00",1005.972,13.04,0,90,133.8,0.077,12.3
"2021-12-29 03:00:00",1005.72,13.04,0,91,62.83,0.481,12.92
"2021-12-29 02:00:00",1005.216,13.03,0,91.6,62.54,0.481,13.04
"2021-12-29 01:00:00",1004.964,13.04,0,92,62.47,0.414,13.41
"2021-12-29 00:00:00",1004.585,13.03,0,91.3,62.44,0.481,14.09
"2021-12-28 23:00:00",1004.333,13.04,0,91.8,62.47,0.481,14.46
"2021-12-28 22:00:00",1004.333,13.39,0,91.7,62.54,0.481,14.83
"2021-12-28 21:00:00",1004.207,13.08,0.01,91.8,62.54,0.414,15.01
"2021-12-28 20:00:00",1004.396,12.53,0,92.2,96.6,0.414,15.51
"2021-12-28 19:00:00",1004.333,12.53,0,91.8,133.2,0.549,16.25
"2021-12-28 18:00:00",1004.081,12.53,0,92.3,95.7,0.549,16.43
"2021-12-28 17:00:00",1004.207,12.53,0,92.9,204.8,0.549,16.74
"2021-12-28 16:00:00",1004.452,12.53,0,89.6,204.8,0.549,17.48
