maxtempF,mintempF,avgtempF,totalprecipIn
46,39,42,0.14
42,37,40,0.17
40,36,37,0.3
37,30,33,0.62
38,28,33,0.02
41,32,35,1.51
44,40,42,1.07
44,39,41,0.2
42,38,40,0.13
40,35,37,0.2
44,35,39,0.53
49,40,44,3.3
41,27,34,0.26
42,28,34,0.0
52,34,42,0.0
54,36,43,0.0
54,38,44,0.0
43,34,39,0.0
41,33,36,0.0
36,32,35,0.32
39,32,34,0.15
34,29,32,0.07
36,25,29,0.0
39,25,31,0.0
39,29,34,0.07
37,24,29,0.0
38,23,31,0.04
38,35,37,0.2
45,38,42,0.16
49,37,43,0.01
47,37,41,0.17
40,37,39,0.15
38,27,33,0.0
36,24,29,0.0
46,29,36,0.0
42,34,37,0.0
38,30,35,0.66
33,28,31,0.0
35,30,33,0.11
38,30,35,0.08
38,28,32,0.0
32,26,29,0.83
28,13,24,0.44
12,2,7,0.07
11,0,5,0.0
18,-1,9,0.0
23,12,19,0.93
20,11,16,0.36
13,-9,5,0.0
6,-12,-2,0.4
12,1,7,0.65
21,7,14,0.04
22,10,16,0.0
20,13,17,0.46
24,16,20,0.15
27,14,21,0.29
33,26,30,1.46
31,29,30,0.84
30,24,27,0.6
29,23,26,0.2
29,24,26,0.7
32,26,28,1.33
26,10,18,0.41
24,14,21,0.08
21,16,19,0.51
32,21,29,0.8
34,31,33,2.15
36,33,35,3.26
33,25,31,0.91
30,23,25,0.0
33,24,28,0.63
35,33,34,0.19
37,33,35,0.0
36,23,29,0.0
40,22,30,0.0
37,24,30,0.0
37,22,28,0.0
34,22,27,0.0
34,24,27,0.0
35,23,27,0.0
34,18,24,0.0
31,17,23,0.0
40,20,28,0.0
32,17,23,0.0
32,21,24,0.04
23,11,20,0.04
22,5,12,0.0
30,11,23,0.47
30,28,29,0.17
33,22,28,0.0
40,23,30,0.07
29,25,26,0.05
33,20,28,0.05
43,29,34,0.02
40,25,31,0.0
44,29,34,0.0
37,28,32,0.03
34,25,32,0.0
38,20,27,0.0
34,23,28,0.0
28,20,24,0.03
25,18,22,0.18
32,18,25,0.0
29,15,22,0.0
31,21,25,0.0
31,22,26,0.06
29,21,25,0.1
32,22,27,0.0
34,25,29,0.0
37,21,29,0.0
39,23,30,0.0
40,22,29,0.0
37,26,30,0.0
37,28,32,0.16
37,29,33,0.19
34,30,32,0.6
33,24,31,0.54
24,9,18,0.08
30,6,18,0.0
31,16,25,0.03
35,29,32,0.2
39,29,34,0.27
37,26,32,0.28
33,25,29,0.18
29,11,26,0.61
29,3,17,0.0
28,18,23,0.33
26,8,19,0.12
25,7,18,0.21
25,7,16,0.0
26,4,15,0.0
32,9,20,0.0
40,18,28,0.0
30,27,29,0.54
31,25,27,1.05
29,23,26,0.38
31,24,28,0.29
35,26,31,0.0
36,31,33,0.08
40,29,35,0.18
38,23,30,0.04
33,21,28,0.13
34,24,29,0.14
33,29,31,0.5
30,25,29,0.66
38,21,29,0.0
35,27,32,0.07
31,25,28,0.39
31,21,26,0.09
32,22,28,0.1
31,25,29,0.96
33,23,29,0.68
33,27,31,0.83
32,20,27,0.07
