"Date/Time (PST)","Barometric Pressure  (mb) ","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Solar Radiation  (W/m2) ","Temperature  (deg F) "
"2016-12-31 23:00:00",1004.105,11.83,0.02,91.2,70.68,3.126,,25.96
"2016-12-31 22:00:00",1004.609,11.83,0.04,89.3,55.03,3.059,,26.2
"2016-12-31 21:00:00",1004.483,11.83,0.03,95.7,56.65,2.722,,26.51
"2016-12-31 20:00:00",1004.609,11.83,0.03,95.9,53.82,2.25,,25.77
"2016-12-31 19:00:00",1004.861,11.83,0.05,95.2,53.68,1.845,,25.46
"2016-12-31 18:00:00",1006.374,11.84,0.03,94.7,52.34,0.564,,25.03
"2016-12-31 17:00:00",1008.012,11.84,0,93.7,51.39,0.766,,24.79
"2016-12-31 16:00:00",1009.525,11.88,0,93,52.74,0.766,,25.09
"2016-12-31 15:00:00",1010.912,11.95,0,90.8,53.14,0.766,,25.16
"2016-12-31 14:00:00",1012.172,12.01,0,84.8,52.61,0.699,,25.22
"2016-12-31 13:00:00",1013.18,12.15,0,83.2,51.8,0.766,,27.5
"2016-12-31 12:00:00",1014.189,12.14,0,85.6,51.46,0.699,,27.19
"2016-12-31 11:00:00",1014.567,12.11,0,90.1,51.93,0.699,,24.29
"2016-12-31 10:00:00",1015.083,11.96,0,88.4,51.93,0.699,,25.28
"2016-12-31 09:00:00",1015.623,11.85,0,93.9,52.44,0.759,,23.01
"2016-12-31 08:00:00",1016.51,11.84,0,94.4,52.31,0.76,,21.65
"2016-12-31 07:00:00",1017.148,11.85,0,94.5,52.44,0.758,,20.79
"2016-12-31 06:00:00",1017.811,11.85,0,94.3,52.57,0.756,,19.93
"2016-12-31 05:00:00",1018.197,11.86,0,95.1,52.82,0.954,,19.01
"2016-12-31 04:00:00",1019.312,11.87,0,93.1,53.11,0.757,,17.16
"2016-12-31 03:00:00",1019.905,11.89,0,94.3,53.12,0.826,,20.29
"2016-12-31 02:00:00",1020.857,11.9,0,93.4,206.7,0.828,,19.92
"2016-12-31 01:00:00",1020.79,11.92,0,94.5,53.06,0.829,,22.33
"2016-12-31 00:00:00",1020.961,11.94,0,94.4,53.13,0.829,,22.45
"2016-12-30 23:00:00",1021.254,11.96,0,93.8,53.95,0.833,,23.06
"2016-12-30 22:00:00",1021.25,11.98,0,94.8,53.14,0.834,,24.48
"2016-12-30 21:00:00",1021.374,12,0,94.9,48.02,0.766,,25.03
"2016-12-30 20:00:00",1021.752,12.02,0,95.7,54.22,0.834,,26.14
"2016-12-30 19:00:00",1022.13,12.05,0,96.7,53.41,0.834,,25.53
"2016-12-30 18:00:00",1022.13,12.08,0,95.6,53.68,0.834,,25.65
"2016-12-30 17:00:00",1022.13,12.12,0,94.8,53.68,0.766,,26.76
"2016-12-30 16:00:00",1021.752,12.21,0,90.8,53.14,0.766,,28.61
"2016-12-30 15:00:00",1022.002,12.29,0,89.2,53.28,0.7,,32.31
"2016-12-30 14:00:00",1021.572,12.58,0,86.4,52.77,0.572,,32.11
"2016-12-30 13:00:00",1021.446,12.81,0,82.5,53.31,0.706,,33.96
"2016-12-30 12:00:00",1021.698,12.38,0,83.1,53.64,0.572,,35.93
"2016-12-30 11:00:00",1021.614,11.92,0,83.6,55.31,0.768,,34.71
"2016-12-30 10:00:00",1021.5,11.86,0,93.8,55.44,1.103,,31.2
"2016-12-30 09:00:00",1020.995,11.86,0,96.2,55.77,1.171,,28.3
"2016-12-30 08:00:00",1019.861,11.86,0.01,96.9,55.71,1.103,,28.11
"2016-12-30 07:00:00",1019.735,11.86,0.02,96.8,55.37,0.766,,28.79
"2016-12-30 06:00:00",1019.483,11.86,0,97,55.71,0.834,,28.55
"2016-12-30 05:00:00",1019.357,11.86,0,97,55.3,2.317,,28.18
"2016-12-30 04:00:00",1019.483,11.86,0,97,55.37,2.654,,28.61
"2016-12-30 03:00:00",1019.483,11.86,0.02,97.2,55.44,3.666,,29.16
"2016-12-30 02:00:00",1018.979,11.86,0.02,97.2,56.65,44.39,,29.29
"2016-12-30 01:00:00",1018.727,11.86,0.03,97.2,52.47,2.722,,29.47
"2016-12-30 00:00:00",1018.727,11.86,0.02,97.5,47.75,2.857,,30.03
"2016-12-29 23:00:00",1018.601,11.86,0.03,97.7,54.96,1.913,,30.33
"2016-12-29 22:00:00",1018.601,11.86,0.07,97.9,54.76,2.452,,30.4
"2016-12-29 21:00:00",1018.096,11.86,0.13,97.7,55.03,1.171,,31.38
"2016-12-29 20:00:00",1017.718,11.86,0.09,97.7,53.28,1.103,,31.51
"2016-12-29 19:00:00",1017.214,11.86,0.1,97.7,53.55,0.969,,31.63
"2016-12-29 18:00:00",1017.088,11.86,0.12,97.4,54.22,0.969,,31.44
"2016-12-29 17:00:00",1017.088,11.86,0.18,97.2,55.03,0.969,,31.69
"2016-12-29 16:00:00",1017.466,11.87,0.13,96.6,53.82,0.766,,31.69
"2016-12-29 15:00:00",1018.096,11.87,0.05,96,54.9,0.766,,29.96
"2016-12-29 14:00:00",1018.979,11.87,0.01,93.5,53.82,0.834,,29.41
