"Date/Time (PST)","Barometric Pressure  (mb) ","Battery Voltage  (v) ","Precipitation  ("") ","Relative Humidity  (%) ","Total Snow Depth  ("") ","24 Hour Snow  ("") ","Temperature  (deg F) "
"2019-12-31 23:00:00",1004.936,13.01,0.06,96.2,20.3,0.376,43.1
"2019-12-31 22:00:00",1004.936,13.01,0.14,99,20.3,0.039,42.48
"2019-12-31 21:00:00",1004.558,13.01,0.16,100,18.68,0.376,40.63
"2019-12-31 20:00:00",1005.077,13.01,0.14,100,18,0.509,39.28
"2019-12-31 19:00:00",1005.447,13.01,0.14,100,21.78,0.511,38.54
"2019-12-31 18:00:00",1006.336,13.01,0.22,100,19.61,0.509,39.22
"2019-12-31 17:00:00",1007.215,13.01,0.27,100,20.09,0.644,38.78
"2019-12-31 16:00:00",1008.381,13.01,0.14,100,21.07,0.504,37.25
"2019-12-31 15:00:00",1009.273,13.01,0.2,100,21.75,0.369,36.39
"2019-12-31 14:00:00",1009.651,13.01,0.28,100,21.95,0.301,34.48
"2019-12-31 13:00:00",1011.164,13.01,0.26,100,21.48,0.369,34.6
"2019-12-31 12:00:00",1012.55,13.01,0.14,100,21.75,0.638,33.43
"2019-12-31 11:00:00",1013.937,13.01,0.16,100,21.61,0.638,33.12
"2019-12-31 10:00:00",1015.197,13.01,0.18,100,22.02,0.503,33
"2019-12-31 09:00:00",1016.08,13.01,0.12,100,22.29,0.706,32.63
"2019-12-31 08:00:00",1015.449,13.01,0.04,100,22.02,0.706,32.38
"2019-12-31 07:00:00",1016.584,13.01,0.01,100,22.15,0.706,32.44
"2019-12-31 06:00:00",1017.466,13.01,0.03,100,22.02,0.706,32.38
"2019-12-31 05:00:00",1017.781,13.01,0.06,100,22.15,0.773,32.38
"2019-12-31 04:00:00",1019.735,13.01,0.05,100,22.02,0.773,32.32
"2019-12-31 03:00:00",1020.491,13.01,0.01,100,22.29,0.706,32.38
"2019-12-31 02:00:00",1020.869,13.01,0.04,100,22.02,0.706,32.44
"2019-12-31 01:00:00",1021.5,13.01,0.02,100,21.48,0.503,32.38
"2019-12-31 00:00:00",1022.004,13.01,0.01,100,22.02,0.638,32.32
"2019-12-30 23:00:00",1022.76,13.01,0,100,22.29,0.503,32.26
"2019-12-30 22:00:00",1022.886,13.01,0,100,21.95,0.369,32.14
"2019-12-30 21:00:00",1023.012,13.01,0,100,21.88,0.503,32.07
"2019-12-30 20:00:00",1023.643,13.01,0,100,21.61,0.436,31.83
"2019-12-30 19:00:00",1024.021,13.01,0,100,21.88,0.436,31.64
"2019-12-30 18:00:00",1024.273,13.01,0,100,21.88,0.436,31.4
"2019-12-30 17:00:00",1024.777,13.01,0,99.9,22.02,0.436,31.03
"2019-12-30 16:00:00",1024.777,13.01,0,98.4,21.88,0.436,31.52
"2019-12-30 15:00:00",1024.777,13.01,0,95.4,21.75,0.301,32.32
"2019-12-30 14:00:00",1025.218,13.01,0,95.3,21.75,0.369,31.58
"2019-12-30 13:00:00",1025.218,13.01,0.01,96.6,22.02,0.301,30.47
"2019-12-30 12:00:00",1025.911,13.01,0.02,96,22.42,0.301,29.42
"2019-12-30 11:00:00",1026.037,13.01,0,97.4,22.42,0.503,28.25
"2019-12-30 10:00:00",1026.668,13.01,0.02,98,22.56,0.234,27.82
"2019-12-30 09:00:00",1026.543,13.01,0,98.8,22.56,0.503,26.96
"2019-12-30 08:00:00",1025.664,13.01,0,99,22.69,0.503,26.34
"2019-12-30 07:00:00",1025.408,13.01,0,98.9,22.69,0.436,26.34
"2019-12-30 06:00:00",1024.664,13.01,0,99.3,22.49,0.233,26.34
"2019-12-30 05:00:00",1024.655,13.01,0,99.1,22.15,0.369,26.09
"2019-12-30 04:00:00",1024.785,13.01,0,98.9,22.15,0.368,26.22
"2019-12-30 03:00:00",1023.964,13.01,0,98.9,22.15,0.368,26.4
"2019-12-30 02:00:00",1023.645,13.01,0,98.6,22.29,0.368,26.4
"2019-12-30 01:00:00",1023.267,13.01,0,98.7,22.15,0.301,26.53
"2019-12-30 00:00:00",1023.266,13.01,0,98.6,22.29,0.436,26.59
"2019-12-29 23:00:00",1022.76,13.01,0,98.6,22.29,0.436,26.59
"2019-12-29 22:00:00",1022.445,13.01,0,98.4,22.41,0.434,26.83
"2019-12-29 21:00:00",1022.13,13.01,0,98.6,22.42,0.436,26.96
"2019-12-29 20:00:00",1021.5,13.01,0,98.5,22.42,0.436,26.96
"2019-12-29 19:00:00",1020.743,13.01,0,98.9,22.42,0.436,26.96
"2019-12-29 18:00:00",1020.176,13.01,0,98.9,22.15,0.436,27.08
"2019-12-29 17:00:00",1019.735,13.01,0,99,22.15,0.436,27.2
"2019-12-29 16:00:00",1019.735,13.01,0,98.4,22.15,0.436,27.45
"2019-12-29 15:00:00",1019.105,13.01,0,98,22.02,0.369,27.63
