Date/Time (PST),Barometric Pressure  (mb) ,"Precipitation  ("") ",Relative Humidity  (%) ,"24 Hour Snow  ("") ",Temperature  (deg F) 
2016-01-01 00:00:00,1031.695,0.0,86.9,0.549,13.89
2016-01-01 01:00:00,1031.317,0.0,88.2,0.414,13.15
2016-01-01 02:00:00,1031.317,0.0,89.6,0.414,12.6
2016-01-01 03:00:00,1031.065,0.0,88.6,0.346,12.6
2016-01-01 04:00:00,1030.939,0.0,90.3,0.346,12.16
2016-01-01 05:00:00,1030.939,0.0,88.5,0.346,11.61
2016-01-01 06:00:00,1031.317,0.0,89.2,0.346,11.42
2016-01-01 07:00:00,1031.191,0.0,89.3,0.279,11.49
2016-01-01 08:00:00,1031.317,0.0,87.5,0.346,12.41
2016-01-01 09:00:00,1031.065,0.0,86.2,0.279,14.08
2016-01-01 10:00:00,1030.56,0.0,83.5,0.279,15.93
2016-01-01 11:00:00,1029.672,0.0,78.87,0.346,18.27
2016-01-01 12:00:00,1028.632,0.0,78.32,0.286,19.19
2016-01-01 13:00:00,1028.103,0.0,80.3,0.355,19.0
2016-01-01 14:00:00,1027.972,0.0,81.4,0.355,19.0
2016-01-01 15:00:00,1027.864,0.0,88.0,0.355,15.86
2016-01-01 16:00:00,1027.658,0.0,91.2,0.347,14.26
2016-01-01 17:00:00,1027.408,0.0,92.3,0.346,13.64
2016-01-01 18:00:00,1026.904,0.0,93.4,0.481,13.03
2016-01-01 19:00:00,1026.399,0.0,93.3,0.346,12.66
2016-01-01 20:00:00,1026.021,0.0,92.8,0.346,12.47
2016-01-01 21:00:00,1025.643,0.0,93.0,0.279,12.04
2016-01-01 22:00:00,1025.517,0.0,93.1,0.346,11.79
2016-01-01 23:00:00,1025.391,0.0,92.2,0.279,11.55
2016-01-02 00:00:00,1025.138,0.0,91.2,0.144,11.3
2016-01-02 01:00:00,1024.76,0.0,91.6,0.009,10.75
2016-01-02 02:00:00,1024.634,0.0,91.0,0.414,10.38
2016-01-02 03:00:00,1024.382,0.0,90.1,0.009,10.13
2016-01-02 04:00:00,1024.256,0.0,89.6,0.144,9.76
2016-01-02 05:00:00,1024.256,0.0,89.7,0.414,9.14
2016-01-02 06:00:00,1024.259,0.0,89.3,0.279,8.59
2016-01-02 07:00:00,1024.004,0.0,89.0,0.413,8.46
2016-01-02 08:00:00,1024.02,0.0,87.2,0.276,9.95
2016-01-02 09:00:00,1023.878,0.0,84.7,0.279,11.55
2016-01-02 10:00:00,1024.004,0.0,80.7,0.414,14.38
2016-01-02 11:00:00,1023.373,0.0,81.3,0.414,14.2
2016-01-02 12:00:00,1022.552,0.0,76.58,0.348,17.22
2016-01-02 13:00:00,1021.754,0.0,76.84,0.151,18.82
2016-01-02 14:00:00,1021.356,0.0,78.42,0.356,18.88
2016-01-02 15:00:00,1021.308,0.0,86.7,0.354,14.81
2016-01-02 16:00:00,1021.227,0.0,89.5,0.414,12.97
2016-01-02 17:00:00,1021.103,0.0,90.5,0.346,11.55
2016-01-02 18:00:00,1020.788,0.0,90.8,0.346,10.25
2016-01-02 19:00:00,1021.482,0.0,90.6,0.414,10.25
2016-01-02 20:00:00,1021.229,0.0,89.4,0.346,8.22
2016-01-02 21:00:00,1020.347,0.0,91.8,0.414,8.03
2016-01-02 22:00:00,1019.605,0.0,90.2,0.344,8.28
2016-01-02 23:00:00,1018.892,0.0,90.7,0.342,7.733
2016-01-03 00:00:00,1017.885,0.0,90.2,0.471,7.733
2016-01-03 01:00:00,1018.407,0.0,90.0,0.54,6.995
2016-01-03 02:00:00,1018.377,0.0,89.3,0.479,7.978
2016-01-03 03:00:00,1017.109,0.0,89.9,0.544,7.113
2016-01-03 04:00:00,1016.51,0.0,90.0,0.406,6.871
2016-01-03 05:00:00,1016.476,0.0,91.2,0.406,10.75
2016-01-03 06:00:00,1015.997,0.0,89.9,0.549,11.67
2016-01-03 07:00:00,1015.934,0.0,89.9,0.549,13.89
2016-01-03 08:00:00,1016.06,0.0,88.8,0.549,15.25
2016-01-03 09:00:00,1016.06,0.0,87.2,0.549,17.41
2016-01-03 10:00:00,1015.804,0.0,89.5,0.28,16.54
2016-01-03 11:00:00,1015.031,0.01,87.6,0.145,17.96
2016-01-03 12:00:00,1014.067,0.0,84.1,0.153,21.28
2016-01-03 13:00:00,1013.823,0.01,87.9,0.09,18.99
2016-01-03 14:00:00,1013.701,0.01,88.8,1.168,18.99
2016-01-03 15:00:00,1013.606,0.0,91.4,0.963,18.57
2016-01-03 16:00:00,1013.111,0.0,92.2,0.355,18.08
2016-01-03 17:00:00,1012.855,0.0,92.4,0.556,17.95
2016-01-03 18:00:00,1012.745,0.01,91.7,1.163,17.83
2016-01-03 19:00:00,1012.321,0.02,91.7,0.756,17.9
2016-01-03 20:00:00,1012.043,0.03,91.8,3.119,18.26
2016-01-03 21:00:00,1011.604,0.02,91.6,3.388,18.2
2016-01-03 22:00:00,1011.865,0.05,91.0,4.328,18.2
2016-01-03 23:00:00,1011.37,0.01,91.8,3.047,18.2
2016-01-04 00:00:00,1010.722,0.01,91.9,4.331,18.26
2016-01-04 01:00:00,1010.218,0.01,91.8,5.01,18.63
2016-01-04 02:00:00,1010.22,0.04,92.0,5.682,18.51
2016-01-04 03:00:00,1009.711,0.04,92.5,6.22,18.75
2016-01-04 04:00:00,1009.452,0.03,91.4,6.357,19.31
2016-01-04 05:00:00,1009.388,0.03,92.4,0.557,19.49
2016-01-04 06:00:00,1009.199,0.06,92.5,1.097,19.37
2016-01-04 07:00:00,1008.944,0.06,92.6,1.907,19.37
2016-01-04 08:00:00,1008.93,0.05,91.2,2.311,20.11
2016-01-04 09:00:00,1009.052,0.03,88.3,2.716,21.52
2016-01-04 10:00:00,1008.643,0.03,82.6,2.722,24.05
2016-01-04 11:00:00,1007.886,0.04,75.05,2.924,28.3
2016-01-04 12:00:00,1007.256,0.05,80.7,2.924,26.08
2016-01-04 13:00:00,1007.004,0.05,80.7,2.924,27.19
2016-01-04 14:00:00,1006.689,0.03,85.6,2.924,25.65
2016-01-04 15:00:00,1006.626,0.0,92.0,2.924,23.98
2016-01-04 16:00:00,1006.374,0.0,94.1,2.857,23.31
2016-01-04 17:00:00,1006.122,0.0,94.4,2.857,23.24
2016-01-04 18:00:00,1006.122,0.0,94.4,3.059,23.18
2016-01-04 19:00:00,1005.744,0.01,94.0,2.923,23.0
2016-01-04 20:00:00,1005.618,0.0,93.4,2.924,23.12
2016-01-04 21:00:00,1005.366,0.0,94.1,2.924,23.06
2016-01-04 22:00:00,1004.987,0.0,94.4,2.924,23.24
2016-01-04 23:00:00,1004.735,0.0,94.6,2.924,23.61
2016-01-05 00:00:00,1004.105,0.0,95.3,2.924,23.37
2016-01-05 01:00:00,1003.979,0.0,94.9,2.924,23.74
2016-01-05 02:00:00,1004.231,0.0,94.8,2.924,23.8
2016-01-05 03:00:00,1004.105,0.0,94.9,2.924,24.35
2016-01-05 04:00:00,1003.979,0.0,94.7,2.924,24.42
2016-01-05 05:00:00,1003.853,0.0,94.8,0.564,24.54
2016-01-05 06:00:00,1004.105,0.0,94.6,0.564,25.16
2016-01-05 07:00:00,1004.042,0.0,94.9,0.564,25.4
2016-01-05 08:00:00,1004.357,0.0,94.5,0.564,25.83
2016-01-05 09:00:00,1004.357,0.0,91.8,0.564,27.13
2016-01-05 10:00:00,1004.231,0.0,89.6,0.564,27.93
2016-01-05 11:00:00,1004.105,0.0,91.6,0.564,27.93
2016-01-05 12:00:00,1003.727,0.0,88.8,0.429,29.78
2016-01-05 13:00:00,1003.853,0.02,89.3,0.497,29.47
2016-01-05 14:00:00,1003.727,0.01,85.4,0.564,30.64
2016-01-05 15:00:00,1004.23,0.01,90.3,0.768,28.85
2016-01-05 16:00:00,1004.231,0.01,93.8,0.834,28.42
2016-01-05 17:00:00,1004.168,0.0,94.7,0.766,28.11
2016-01-05 18:00:00,1004.357,0.0,95.1,0.564,27.93
2016-01-05 19:00:00,1004.483,0.01,95.4,1.508,28.18
2016-01-05 20:00:00,1004.609,0.01,95.8,1.643,28.3
2016-01-05 21:00:00,1004.483,0.0,95.8,1.508,28.42
2016-01-05 22:00:00,1004.609,0.0,96.1,1.643,28.61
2016-01-05 23:00:00,1004.735,0.0,96.4,1.575,28.79
2016-01-06 00:00:00,1005.113,0.0,96.6,1.575,28.92
2016-01-06 01:00:00,1005.239,0.0,96.5,1.575,28.98
2016-01-06 02:00:00,1005.239,0.0,96.5,1.575,29.35
2016-01-06 03:00:00,1005.365,0.0,96.8,1.575,29.53
2016-01-06 04:00:00,1005.491,0.0,96.8,1.575,29.78
2016-01-06 05:00:00,1005.617,0.0,96.7,0.294,29.84
