"Date/Time (PST)",""" (3100') Alpental Base",""" (4350') Alpental Mid-Mountain",""" (3010') Snoqualmie Pass"
"1/9/16 11 pm",72.4,82,69.87
"1/9/16 10 pm",72.47,82.3,70.14
"1/9/16 9 pm",72.47,82.2,70.2
"1/9/16 8 pm",72.68,82.2,70.14
"1/9/16 7 pm",72.49,82.1,70.27
"1/9/16 6 pm",72.56,82.2,70.27
"1/9/16 5 pm",72.7,82.4,70.41
"1/9/16 4 pm",72.7,82.5,70.41
"1/9/16 3 pm",72.57,82.1,70.41
"1/9/16 2 pm",72.46,82.4,70.14
"1/9/16 1 pm",72.46,82.4,70
"1/9/16 12 pm",72.46,82,70.14
"1/9/16 11 am",72.46,82.4,70.14
"1/9/16 10 am",72.7,81.2,70.27
"1/9/16 9 am",72.96,80.9,70.54
"1/9/16 8 am",73.09,80.5,70.68
"1/9/16 7 am",73.23,81,70.81
"1/9/16 6 am",73.3,80.3,70.88
"1/9/16 5 am",73.3,80.6,70.94
"1/9/16 4 am",73.36,80.2,70.94
"1/9/16 3 am",73.23,79.7,70.81
"1/9/16 2 am",73.5,79.45,70.94
"1/9/16 1 am",73.58,81.2,71.08
"1/9/16 12 am",73.65,81.5,71.15
"1/8/16 11 pm",73.65,82.3,71.21
"1/8/16 10 pm",73.65,81.5,71.35
"1/8/16 9 pm",73.79,83,71.35
"1/8/16 8 pm",73.65,83.1,71.35
"1/8/16 7 pm",73.79,83.2,71.35
"1/8/16 6 pm",73.85,81.8,71.42
"1/8/16 5 pm",73.85,83.6,71.48
"1/8/16 4 pm",73.92,83.9,71.42
"1/8/16 3 pm",74.08,83.5,71.44
"1/8/16 2 pm",73.88,83.6,71.37
"1/8/16 1 pm",73.94,83.6,71.71
"1/8/16 12 pm",73.81,83.3,71.91
"1/8/16 11 am",73.81,83.3,72.04
"1/8/16 10 am",73.94,83.7,72.16
"1/8/16 9 am",74.06,83.8,72.43
"1/8/16 8 am",74.32,84.1,72.56
"1/8/16 7 am",74.32,84.5,72.83
"1/8/16 6 am",74.65,84.2,72.7
"1/8/16 5 am",74.65,83.8,72.9
"1/8/16 4 am",74.65,83.8,72.9
"1/8/16 3 am",74.72,83.9,72.97
"1/8/16 2 am",74.85,83.5,73.1
"1/8/16 1 am",75.05,82.7,73.1
"1/8/16 12 am",74.98,82.7,72.97
"1/7/16 11 pm",74.65,82.6,73.17
"1/7/16 10 pm",74.92,82.3,73.3
"1/7/16 9 pm",75.12,80.6,73.3
"1/7/16 8 pm",75.25,80.6,73.3
"1/7/16 7 pm",74.65,80.7,73.51
"1/7/16 6 pm",75.05,80.5,73.51
"1/7/16 5 pm",75.45,80.1,73.64
"1/7/16 4 pm",75.33,80.2,73.59
"1/7/16 3 pm",75.34,80.2,73.59
"1/7/16 2 pm",75.4,80.2,73.4
"1/7/16 1 pm",75.67,83.3,73.53
"1/7/16 12 pm",75.73,83.9,73.4
"1/7/16 11 am",75.67,84.9,73.4
"1/7/16 10 am",75.78,84.9,73.46
"1/7/16 9 am",76.45,82.2,73.91
"1/7/16 8 am",76.55,85.3,74.18
"1/7/16 7 am",76.82,85.4,74.32
"1/7/16 6 am",76.95,83.5,74.32
"1/7/16 5 am",77.02,83.5,74.59
"1/7/16 4 am",77.03,81.6,74.45
"1/7/16 3 am",77.05,84.1,74.59
"1/7/16 2 am",77.24,84.9,74.72
"1/7/16 1 am",77.31,83.5,74.72
"1/7/16 12 am",77.31,85.2,74.86
"1/6/16 11 pm",77.51,85.3,74.86
"1/6/16 10 pm",77.58,86,74.99
"1/6/16 9 pm",77.58,86,75.06
"1/6/16 8 pm",77.71,86.1,75.06
"1/6/16 7 pm",77.78,86.3,75.26
"1/6/16 6 pm",77.98,86.3,75.46
"1/6/16 5 pm",77.98,86.8,75.46
"1/6/16 4 pm",77.92,88.3,75.54
"1/6/16 3 pm",77.6,88.1,75.55
"1/6/16 2 pm",77.99,88.5,75.69
"1/6/16 1 pm",78.26,88.7,75.82
"1/6/16 12 pm",78.26,88.4,75.55
"1/6/16 11 am",77.8,88.5,75.76
"1/6/16 10 am",77.71,88.7,75.08
"1/6/16 9 am",78.11,88.5,75.26
"1/6/16 8 am",78.35,87.1,75.13
"1/6/16 7 am",78.48,88.1,75.13
"1/6/16 6 am",78.68,87.3,75.13
"1/6/16 5 am",78.82,86.9,75.4
"1/6/16 4 am",78.88,87.3,75.26
"1/6/16 3 am",79.15,87.1,75.26
"1/6/16 2 am",79.35,86.2,75.46
"1/6/16 1 am",79.61,87.1,75.46
"1/6/16 12 am",79.48,283.2,75.66
"1/5/16 11 pm",79.75,87.4,75.93
"1/5/16 10 pm",79.95,87.5,76.34
"1/5/16 9 pm",80.1,87.5,76.47
"1/5/16 8 pm",80.1,87.5,76.61
"1/5/16 7 pm",80.1,283.3,76.88
"1/5/16 6 pm",79.68,283.3,75.46
"1/5/16 5 pm",79.88,83.2,76.54
"1/5/16 4 pm",78.82,283.3,76.47
"1/5/16 3 pm",79.75,83.4,77.02
"1/5/16 2 pm",79.75,86.5,77.01
"1/5/16 1 pm",79.75,86.7,75.66
"1/5/16 12 pm",78.55,84.4,76.61
"1/5/16 11 am",79.48,90.5,76.74
"1/5/16 10 am",79.59,91.1,76.74
"1/5/16 9 am",79.86,91,77.15
"1/5/16 8 am",79.99,90.7,76.34
