"Date/Time (PST)",""" (3100') Alpental Base",""" (4350') Alpental Mid-Mountain",""" (3010') Snoqualmie Pass"
"1/9/16 11 pm",0.206,1.036,0.294
"1/9/16 10 pm",0.206,1.17,0.362
"1/9/16 9 pm",0.207,1.171,0.362
"1/9/16 8 pm",0.208,1.171,0.362
"1/9/16 7 pm",0.211,1.043,0.362
"1/9/16 6 pm",0.211,1.05,0.362
"1/9/16 5 pm",0.212,0.916,0.294
"1/9/16 4 pm",0.146,1.05,0.362
"1/9/16 3 pm",0.214,1.056,0.294
"1/9/16 2 pm",0.351,1.065,0.162
"1/9/16 1 pm",0.218,1.065,0.16
"1/9/16 12 pm",0.218,1.065,0.16
"1/9/16 11 am",0.218,1.056,0.159
"1/9/16 10 am",0.212,1.05,0.159
"1/9/16 9 am",0.212,1.184,0.159
"1/9/16 8 am",0.344,1.05,0.294
"1/9/16 7 am",0.345,1.05,0.362
"1/9/16 6 am",0.412,0.916,0.362
"1/9/16 5 am",0.345,0.916,0.294
"1/9/16 4 am",0.345,0.916,0.362
"1/9/16 3 am",0.346,1.05,0.294
"1/9/16 2 am",0.347,1.055,0.294
"1/9/16 1 am",0.348,1.055,0.294
"1/9/16 12 am",0.349,1.054,0.294
"1/8/16 11 pm",0.35,1.057,0.294
"1/8/16 10 pm",0.351,1.13,0.294
"1/8/16 9 pm",0.351,1.065,0.294
"1/8/16 8 pm",0.351,1.065,0.294
"1/8/16 7 pm",0.351,1.065,0.294
"1/8/16 6 pm",0.417,1.065,0.362
"1/8/16 5 pm",0.351,1.065,0.294
"1/8/16 4 pm",0.351,1.065,0.295
"1/8/16 3 pm",0.356,1.07,0.301
"1/8/16 2 pm",0.356,1.012,0.302
"1/8/16 1 pm",0.222,0.945,0.167
"1/8/16 12 pm",0.223,0.678,0.167
"1/8/16 11 am",0.223,0.678,0.164
"1/8/16 10 am",0.223,0.608,0.296
"1/8/16 9 am",0.351,0.8,28.61
"1/8/16 8 am",0.351,0.798,28.61
"1/8/16 7 am",0.351,0.801,28.61
"1/8/16 6 am",0.351,0.798,0.294
"1/8/16 5 am",0.351,0.798,0.294
"1/8/16 4 am",0.351,0.799,0.294
"1/8/16 3 am",0.351,0.799,0.294
"1/8/16 2 am",0.218,0.797,0.294
"1/8/16 1 am",0.351,0.799,0.294
"1/8/16 12 am",0.351,0.799,0.294
"1/7/16 11 pm",0.218,0.802,0.294
