"Date/Time (PST)","deg F (3100') Alpental Base","deg F (4350') Alpental Mid-Mountain","deg F (4340') Mt. Washington","deg F (3010') Snoqualmie Pass","deg F (3760') Snoqualmie Pass - Dodge Ridge","deg F (3770') Snoqualmie Pass - East Shed"
"4/9/16 10 pm",36.27,39.93,40.06,34.41,43.07,43.2
"4/9/16 9 pm",36.88,40.85,41.96,35.34,43.46,43.79
"4/9/16 8 pm",37,40.76,43.47,35.76,44.53,44.28
"4/9/16 7 pm",38.2,43.64,43.24,37.37,45.43,45.5
"4/9/16 6 pm",39.18,44.92,44.84,39.89,48.11,47.66
"4/9/16 5 pm",41.35,45.32,47.29,44.51,51.8,51.83
"4/9/16 4 pm",42.79,45.35,48.33,55.68,53.19,56.76
"4/9/16 3 pm",48.97,53.36,48.39,58.94,53.6,59.04
"4/9/16 2 pm",52.96,50.7,51.26,59.99,53.46,60.52
"4/9/16 1 pm",56.35,52.29,51.33,60.42,53.02,60.64
"4/9/16 12 pm",59.39,52.66,49.85,59.87,52.57,59.23
"4/9/16 11 am",59.16,52.87,50.91,60.24,52.39,58.67
"4/9/16 10 am",57.84,50.73,50.97,58.38,49.99,57.56
"4/9/16 9 am",53.62,48.91,50.25,54.8,46.92,54.82
"4/9/16 8 am",46.11,47.63,50.06,57.08,49.28,51.91
"4/9/16 7 am",37.97,47.44,49.43,43.4,45.93,49.88
"4/9/16 6 am",36.64,48.26,48.28,36.44,44.78,47.9
"4/9/16 5 am",36.15,44.36,47.9,34.84,43.05,46.27
"4/9/16 4 am",36.39,45.89,47.92,34.66,45.54,47.5
"4/9/16 3 am",36.76,45.75,48.08,34.96,46.77,47.81
"4/9/16 2 am",36.88,47.69,48.16,35.52,45.22,48.09
"4/9/16 1 am",37.23,50.6,46.4,36.63,46.76,49.69
"4/9/16 12 am",38.08,51.57,50.04,36.82,50.79,52.64
"4/8/16 11 pm",38.21,52.25,51.95,36.94,52.43,52.83
"4/8/16 10 pm",38.81,52.69,51.91,37.43,51.41,52.96
"4/8/16 9 pm",39.3,48.53,51.95,38.05,51.44,53.02
"4/8/16 8 pm",39.3,49.25,51.87,39.21,51.58,53.26
"4/8/16 7 pm",39.78,53.59,52.84,40.08,51.48,52.63
"4/8/16 6 pm",41.72,52.31,55.51,43.22,54.97,54.98
"4/8/16 5 pm",43.65,51.38,59.96,46.3,59.29,61.51
"4/8/16 4 pm",46.31,53.59,60.46,57.17,63.43,63.72
"4/8/16 3 pm",51.51,62.82,58.37,60.69,65.34,68.89
"4/8/16 2 pm",54.9,60.66,60.08,71.48,65.84,70.98
"4/8/16 1 pm",56.84,61.63,62.25,71.05,66.13,69.5
"4/8/16 12 pm",56.96,61.5,65.2,73.64,65.38,69.7
"4/8/16 11 am",57.81,63.82,65.92,70.24,61.26,66.07
"4/8/16 10 am",55.41,58.49,65.06,68.87,58.01,62.74
"4/8/16 9 am",51.79,55.23,62.5,62.81,56.11,58.36
"4/8/16 8 am",46.11,54,60.96,57.32,55.99,54.98
"4/8/16 7 am",39.91,52.08,61.16,44.88,51.87,53.79
"4/8/16 6 am",37.73,51.47,61.59,37.24,51.78,47.32
"4/8/16 5 am",36.76,50.49,60.95,35.15,50.41,47.23
"4/8/16 4 am",37.24,50.86,61.01,34.53,51.83,46.8
"4/8/16 3 am",37.49,49.88,61.34,35.46,49.98,46.83
"4/8/16 2 am",37.36,49.77,61.06,35.27,50.89,47.63
